Title,Description
"The Ghosts of Trappist (NeoG, 3)","NeoG--the Near-Earth Orbital Guard, a diverse military force that patrols and protects the solar system, inspired by the real-life mission of the Coast Guard--and the crew of Zuma\'s Ghost are under attack, and shocking truths are about to be exposed.\n\nWhat the black takes should stay in the black.\n\nEnsign Nell &quot;Sapphi&quot; Zika has been working hard to get past her trauma, but the unnerving pleas for help she\'s hearing in the Verge and the song she can\'t get out of her head are making that increasingly difficult. As Zuma\'s Ghost gears up for a final run at the Boarding Games, their expert hacker is feeling anything but confident. Plus, her chief\'s robot dog, Doge, is acting weird--a computer problem she can\'t find an answer to--and the increasing number of missing freighters is putting everyone living on or stationed around Trappist on edge.\n\nIt doesn\'t help the NeoG\'s mission that Dread Treasure is sidelined from competing in the Boarding Games, and Commander D\'Arcy Montaglione is stuck on the front lines of the mystery of the missing ships while also stuck in his own head. Never good at trusting people to begin with, he\'s struggling to piece together his new crew in the aftermath of a great betrayal, knowing this may be his final chance at command. The last thing he wants to do is prove his enemies right and end up getting shoved behind a desk and forgotten. The easy answer to missing ships is pirates, but D\'Arcy soon realizes the easiest answer is rarely the right one out in the vacuum of space. What\'s worse is that the actual pirates are scared of something out beyond the asteroid belt. Something that\'s been taking their ships too...\n\nAs the unknowns multiply and one of their mysterious enemies escalates by launching an attack on the NeoG itself, the Interceptor crews must brave both cyber and outer space to hunt down their foes, but no one is prepared for the truth that is revealed or the way it will shake the foundations of everything they believe about the universe.\n\n"
"Protect Me (Immortal Vices and Virtues: Her Monstrous Mates, #3)","I ran from my cruel fiancé…and found myself in the arms of three powerful shifters.\n\nWhen I throw myself at the mercy of the Ringmaster in No Man’s Land, I’m only seeking temporary refuge. A place to hide from the corruption and death that waits for me back home.\nThree months. That’s all I have until the protection the circus provides me expires.\nMy bodyguards? Three shifters who look at me like they want to eat me for dinner.\nThey want my body.\nMy heart.\nAnd even as the attraction I feel for them is stronger than anything I’ve ever felt, neither of those are mine to give.\nNot anymore.\nThe past I’m running from still holds me captive. But in the arms of my protectors, I’ve never felt more free.\n\n** Protect Me is a spicy standalone paranormal romance in the Immortal Vices and Virtues universe. You can expect \'touch her and I\'ll unalive you\' vibes and three growly mates who will do anything to keep her. Mature themes will be present. Reader discretion is advised. **"
All the Days of Summer,"Heather Willette has a good life in Concord, Massachusetts--complete with a husband who runs his own business and a son to take up his mantle one day. But now that her marriage has fizzled out and Ross, her only child, is graduating from college and getting serious with his girlfriend, Heather wonders if that life is the one she really wants. Ready to seek out her own happiness and discover herself again, Heather decides to leave her husband and rent a cottage on Nantucket. And her plan is going perfectly--until Ross announces he\'s moving to Nantucket to work at his girlfriend\'s family\'s construction business instead of going back home to work with his own father, like he\'d promised. Worst of all for Heather, this means having to get along with her.\n\nKailee Essex is thrilled that Ross is willing to move to her hometown. She has big hopes for their happily ever after, especially now that her parents are finally showing interest in her career. She\'s less thrilled, however, about his mother living nearby. Kailee has clashed with Heather since the day they met. But anything is possible in the summer sun and sea breezes of Nantucket--even reconciliation. And when change comes sooner than either Heather or Kailee expect, they must learn to overcome their differences to fight for the future they want.\n\nWith All the Days of Summer,  beloved storyteller Nancy Thayer delivers a moving novel that explores the complexity of family and the unexpected ways fate can guide you forward."
"Perełka. Część 1 (Rodzina Monet, #3A)","Po stracie ukochanej mamy i babci życie Hailie Monet wywróciło się do góry nogami. Przed zostaniem oddaną pod opiekę pomocy społecznej uratowało ją tylko odkrycie, że w Pensylwanii ma pięciu starszych braci. Dziewczyna musiała nauczyć się zasad panujących w jej nowym domu. Na szczęście potrzebowała niewiele czasu, by przekonać do siebie Willa, Vincenta, Dylana, Shane’a i Tony’ego. I chociaż jej relacje z braćmi bywają trudne, odkąd dziewczyna zamieszkała w posiadłości Monetów, połączyła ich bardzo silna więź. Z czasem udało się jej też lepiej poznać historię swojej rodziny, a nawet spotkać jej kolejnych, dotychczas Hailie nieznanych, członków.\n\n„Perełka” to trzeci – po „Skarbie” i „Królewnie” – tom cyklu „Rodzina Monet”. Tym razem dziewczyna ma szansę odwiedzić południe Francji. Czy Hailie uda się w końcu wywalczyć odrobinę wolności od nadopiekuńczych braci? Jak rozwinie się jej relacja z Leo? Jak wydarzenia z ostatnich miesięcy wpłyną na pewność siebie dziewczyny? Czy uda się jej zrozumieć zasady, jakimi kierują się jej bracia – tak w życiu, jak i w biznesie?"
The House of Eve,"From the award-winning author of Yellow Wife, a daring and redemptive novel set in 1950s Philadelphia and Washington, DC, that explores what it means to be a woman and a mother, and how much one is willing to sacrifice to achieve her greatest goal.\n\n1950s Philadelphia: fifteen-year-old Ruby Pearsall is on track to becoming the first in her family to attend college, in spite of having a mother more interested in keeping a man than raising a daughter. But a taboo love affair threatens to pull her back down into the poverty and desperation that has been passed on to her like a birthright.\n\nEleanor Quarles arrives in Washington, DC, with ambition and secrets. When she meets the handsome William Pride at Howard University, they fall madly in love. But William hails from one of DC’s elite wealthy Black families, and his par­ents don’t let just anyone into their fold. Eleanor hopes that a baby will make her finally feel at home in William’s family and grant her the life she’s been searching for. But having a baby—and fitting in—is easier said than done.\n\nWith their stories colliding in the most unexpected of ways, Ruby and Eleanor will both make decisions that shape the trajectory of their lives."
Happiness Becomes You: A Guide to Changing Your Life for Good,"I dedicate this book to you… in honor of your unseen efforts to triumph over each problem life sends your way.\n\nTina Turner, one of the world’s most beloved performers, reveals the joyful wisdom behind her inspirational life story in this powerful guide to finding happiness, hope, and love in your own life. In Happiness Becomes You: A Guide to Changing Your Life for Good, Tina shows how all of us can overcome life’s obstacles—even change the impossible to possible—and transform our lives. She explains how we, too, can realize our dreams, empowering us with spiritual tools and sage advice to enrich our unique paths.\n\nFor decades, Tina Turner has shined brightly as an example of someone who can generate hope from nothing, break through all limitations, and achieve success that endures. Drawing on the lessons of her own experiences—rising out of sorrowful lows to stratospheric heights—Tina illuminates the practical principles of Buddhism and how, since 1973, they’ve helped her elevate from despair, adversity, and poverty to joy, stability, and prosperity.\n\nNow, Tina offers the wisdom gained throughout her extraordinary life in Happiness Becomes You, making this the perfect gift of inspiration for you and those you love.\n\n“Each of us is born, I believe, with a unique mission, a purpose in life that only we can fulfill. We are linked by a shared responsibility: to help our human family grow kinder and happier.” — from the Introduction"
The Revels,"The stage is set and the witch-hunt is about to begin…\n\n‘I am no witch. I have not sold my soul to the devil for powers. What I am has never openly been whispered of, yet it is enough that people would hang for it.’\n\nEngland, 1645.\nAfter his half-brother dies, aspiring playwright Nicholas Pearce is apprenticed to Judge William Percival, an infamous former witch-hunter who is under pressure to resume his old profession.\n\nIn a country torn apart by civil war, with escalating tensions between Catholics and Protestants, Royalists and Roundheads, and rumours of witchcraft, Nicholas hides a secret: the dead sing. He hears their secrets, but will he find the courage to speak up to save innocent lives, even if it means putting himself in great danger?\n\nA spellbinding debut novel perfect for fans of Stacey Halls, Laura Purcell and Bridget Collins."
The He-Man Effect: How American Toymakers Sold You Your Childhood,"Brian &quot;Box&quot; Brown brings history and culture to life through his comics. In his new graphic novel, he unravels how marketing that targeted children in the 1980s has shaped adults in the present.Powered by the advent of television and super-charged by the deregulation era of the 1980s, media companies and toy manufacturers joined forces to dominate the psyches of American children. But what are the consequences when a developing brain is saturated with the same kind of marketing bombardment found in Red Scare propaganda?Brian “Box” Brown’s The He-Man Effect shows how corporate manipulation brought muscular, accessory-stuffed action figures to dizzying heights in the 1980s and beyond. Bringing beloved brands like He-Man, Transformers, My Little Pony, and even Mickey Mouse himself into the spotlight, this graphic history exposes a world with no rules and no concern for results beyond profit."
Obsession (Teddy Fay #6),"Teddy Fay finds his skills put to the test in the latest thriller from #1 New York Times bestselling author Stuart Woods.\n\nWhile filming on location in scenic Santa Barbara, California, Peter Barrington and Ben Bacchetti look to expand Centurion Picture’s business by making a deal with a young Croatian billionaire. But when the magnate’s wife is kidnapped, Teddy Fay is brought in to assess the threat and recover the young woman as quickly as possible. As Teddy unravels the threads of her disappearance, he quickly comes to find that darker forces are at play and an old vendetta has been revived that puts them all at risk. Meanwhile, danger lurks even nearer to home as an obsessive fan with perilous intentions weasels his way onto the film set, and only Teddy can stop him from getting too close for comfort."
"Herding Cats (Sarah&#39;s Scribbles, #3)","Adjusting to life as a world-famous cartoonist isn\'t easy. Terrifying deadlines, piles of junk-food wrappers under a glowing computer screen, and an ever-growing horde of pets....umm, never mind--it\'s pretty much the same.\n\nWith characteristic wit and charm, Sarah Andersen\'s third collection of comics and illustrated personal essays offers a survival guide for frantic modern life: from the importance of avoiding morning people, to Internet troll defense 101, to the not-so-life-changing futility of tidying up. But when all else fails and the world around you is collapsing, make a hot chocolate, count the days until Halloween, and snuggle up next to your furry beacon of hope."
Business or Pleasure,"Chandler Cohen has never felt more like the ghost in &quot;ghostwriter&quot; until she attends a signing for a book she wrote—and the author doesn’t even recognize her. The evening turns more promising when she meets a charming man at the bar and immediately connects with him. But when all their sexual tension culminates in a spectacularly awkward hookup, she decides this is one night better off forgotten.\n \nUnfortunately, that’s easier said than done. Her next project is ghostwriting a memoir for Finn Walsh, a C-list actor best known for playing a lovable nerd on a cult classic werewolf show who now makes a living appearing at fan conventions across the country. But Chandler knows him better from their one-night stand of hilarious mishaps.\n \nChandler’s determined to keep their partnership as professional as possible, but when she admits to Finn their night together wasn’t as mind-blowing as he thought it was, he’s distraught. He intrigues her enough that they strike a deal: when they’re not working on his book, Chandler will school Finn in the art of satisfaction. As they grow closer both in and out of the bedroom, they must figure out which is more important, business or pleasure—or if there\'s a way for them to have both."
The Snowcat Prince,"Syv is a snowcat and the youngest in a family of princes. When his father dies, Syv and his brothers are all in line for the throne. Eager to become kings themselves and wary of how well-liked Syv has become by the citizens, Syv’s brothers send him on a dangerous quest to find the long-lost magical crown that once belonged to their royal ancestor, the Eldking. Legend says that the snowcat who finds the crown will break the curse on their land and bring great honor to the family. But failure could mark Syv with three black stripes, and he’d be banished forever.\n\nAlong his journey, Syv will face dangerous beasts, dark powers, and the ever-lurking sand foxes—sworn enemies to the snowcats. But when Syv discovers the truth about the legend of the Eldking and his magical crown, he’ll have to learn the new meaning of honor and find another way to break the curse. \n\nFrom Norwegian author Dina Norlund comes , a beautifully illustrated tale of bravery and honor. "
Where Are Your Boys Tonight?: The Oral History of Emo&#39;s Mainstream Explosion 1999-2008,"An explosive oral history of emo\'s takeover from 1999 to 2008, featuring\n\nMY CHEMICAL ROMANCE, FALL OUT BOY, PARAMORE, PANIC! AT THE DISCO, TAKING BACK SUNDAY, JIMMY EAT WORLD, DASHBOARD CONFESSIONAL, AND MANY MORE\n\nIf Meet Me in the Bathroom traced New York City\'s early 2000\'s rock scene, Where Are Your Boys Tonight? gives the inside story of the turn-of-the-millennium emo subculture that became bigger than anyone thought possible. There was Pete Wentz, the Fall Out Boy leader who launched a litany of scene-stealing bands and preposterous side-hustles, and Gerard Way, the wizard behind My Chemical Romance and The Black Parade. Panic! At the Disco and Paramore emerged soon after--a pair of intrepid outsiders who got massive playing by their own rules. As they ascended, MySpace took over the internet and the age of influencers dawned, with emo its choice aesthetic.\n\nMusic journalist Chris Payne experienced emo\'s mainstream takeover from sweaty crowds and mosh pits growing up in New Jersey. In Where Are Your Boys Tonight? he offers an authoritative, impassioned, and occasionally absurd account told through interviews with more than 150 people, from the scene\'s biggest bands, producers, and managers to the teenage fans who helped redefine American music culture."
The Lost Whale,"A gorgeously written standalone from the acclaimed author of The Last Bear, Hannah Gold\'s second novel is a touching story about adventure, recovery, and love--perfect for fans of Pax and A Wolf Called Wander.\n\nWhen Rio is sent to live with a grandmother he barely knows in California, he feels completely alone. Then he makes a new friend on the foggy beach--a girl named Marina, who teaches him about the massive grey whales that migrate nearby.\n\nAs Rio grows to love the whales, he discovers that his mother loved them, too. He\'s suddenly sure that if he can somehow find a way to connect her with these gentle giants - and especially with a particular whale named White Beak - she will get better and come to join him in California. But White Beak is missing--and Rio must embark on a desperate journey across the dangerous ocean to find her.\n\nAn excellent choice for readers in grades 3 to 7, this fierce celebration of friendship includes information about the struggles facing real gray whales from climate change, pollution, and over-fishing."
Before the Ever After,"Jacqueline Woodson\'s novel-in-verse explores how a family moves forward when their glory days have passed and the cost of professional sports on Black bodies.\n\nFor as long as ZJ can remember, his dad has been everyone\'s hero. As a charming, talented pro football star, he\'s as beloved to the neighborhood kids he plays with as he is to his millions of adoring sports fans. But lately life at ZJ\'s house is anything but charming. His dad is having trouble remembering things and seems to be angry all the time. ZJ\'s mom explains it\'s because of all the head injuries his dad sustained during his career. ZJ can understand that--but it doesn\'t make the sting any less real when his own father forgets his name. As ZJ contemplates his new reality, he has to figure out how to hold on tight to family traditions and recollections of the glory days, all the while wondering what their past amounts to if his father can\'t remember it. And most importantly, can those happy feelings ever be reclaimed when they are all so busy aching for the past?"
"I&#39;m No Philosopher, But I Got Thoughts: Mini-Meditations for Saints, Sinners, and the Rest of Us","Aristotle. Socrates. Descartes. And now, Chenoweth. (How about some women, am I right?)\n\nFrom television actress, Broadway star, and New York Times bestselling author Kristin Chenoweth comes I\'m No Philosopher, But I Got Thoughts, an inspiring high-design, colorful book featuring philosophical-ish musings on connection, creativity, loss, love, faith, and closure. Just like Kristin’s grandmother inspired her to trust her heart and develop her own belief system, you\'ll be inspired to develop your own life philosophies, as you journey through some of Kristin\'s most vulnerable and humorous personal stories, in her constant pursuit to make the most out of life.\n\nIn each chapter, you\'ll find:\n\n\nBehind-the-scenes stories from Kristin\'s personal life\nHigh-design, colorful pages of inspirational quotes\nEngaging prompts, prayers, and inspiring quotes\nOh, and a warning: There will be Bible verses. There will be f-bombs. Read responsibly.\n\nI\'m No Philosopher, But I Got Thoughts is the perfect book to pick up on days when you need an extra shot of encouragement, a little laughter, and a gentle reminder that kindness can take you a long way. This is a great gift to give for birthdays, holidays, graduations, Mother\'s Day, or for fans of Kristin Chenoweth, known for her Emmy Award–winning role in the ABC hit series Pushing Daisies and Broadway\'s Wicked."
Light Bringer (Red Rising #6),"Darrow returns as Pierce Brown’s New York Times bestselling Red Rising series continues in the thrilling sequel to Dark Age.\n\n“The measure of a man is not the fear he sows in his enemies. It is the hope he gives his friends.”—Virginia au Augustus \n \nThe Reaper is a legend, more myth than man: the savior of worlds, the leader of the Rising, the breaker of chains. \n \nBut the Reaper is also Darrow, born of the red soil of Mars: a husband, a father, a friend. \n \nThe worlds once needed the Reaper. But now they need Darrow. Because after the dark age will come a new age: of light, of victory, of hope."
Thief Liar Lady,"&quot;Happily Ever After&quot; is a total scam, but at least this time the princess is the one controlling the grift--until her true love arrives and threatens to ruin the whole scheme. Intrigue, magic, and wit abound in this Cinderella fairytale reimagining, perfect for fans of Heather Walter and Naomi Novik.\n\nI\'m not who you think I am.\n\nMy transformation from a poor, orphaned scullery maid into the enchantingly mysterious lady who snagged the heart of the prince did not happen--as the rumors insisted--in a magical metamorphosis of pumpkins and glass slippers. On the first evening of the ball, I didn\'t meekly help my &quot;evil&quot; stepmother and stepsisters primp and preen or watch forlornly out the window as their carriage rolled off toward the palace. I had other preparations to make.\n\nMy stepsisters and I had been trained for this--to be the cleverest in the room, to be quick with our hands and quicker with our lies. We were taught how to get everything we want in this world, everything men always kept for themselves: power, wealth, and prestige. And with a touchingly tragic past and the help of some highly illegal spells, I would become a princess, secure our fortunes, and we would all live happily ever after.\n\nBut there\'s always more to the story. With my magic running out, war looming, and a handsome hostage prince--the wrong prince--distracting me from my true purpose with his magnetic charm and forbidden flirtations, I\'m in danger of losing control of the delicate balance I\'ve created...and that could prove fatal.\n\nThere\'s so much more riding on this than a crown."
It. Goes. So. Fast.: The Year of No Do-Overs,"\n  Operating Instructions\n meets Glennon Doyle in this new book by famed NPR reporter Mary Louise Kelly that is destined to become a classic—about the year before her son goes to college—and the joys, losses and surprises that happen along the way.The time for do-overs is over.Ever since she became a parent, Mary Louise Kelly has said “next year.” Next year will be the year she makes it to her son James’s soccer games (which are on weekdays at 4 p.m., right when she is on the air on NPR’s All Things Considered, talking to millions of listeners). Drive carpool for her son Alexander? Not if she wants to do that story about Ukraine and interview the secretary of state. Like millions of parents who wrestle with raising children while pursuing a career, she has never been cavalier about these decisions. The bargain she has always made with herself is this: this time I’ll get on the plane, and next year I’ll find a way to be there for the mom stuff.Well, James and Alexander are now seventeen and fifteen, and a realization has overtaken Mary Louise: her older son will be leaving soon for college. There used to be years to make good on her promises; now, there are months, weeks, minutes. And with the devastating death of her beloved father, Mary Louise is facing act three of her life head-on. Mary Louise is coming to grips with the reality every parent faces. Childhood has a definite expiration date. You have only so many years with your kids before they leave your house to build their own lives. It’s what every parent is supposed to want, what they raise their children to do. But it is bittersweet. Mary Louise is also dealing with the realities of having aging parents. This pivotal time brings with it the enormous questions of what you did right and what you did wrong. This chronicle of her eldest child’s final year at home, of losing her father, as well as other curve balls thrown at her, is not a definitive answer―not for herself and certainly not for any other parent. But her questions, her issues, will resonate with every parent. And, yes, especially with mothers, who are judged more harshly by society and, more important, judge themselves more harshly. What would she do if she had to decide all over again? Mary Louise’s thoughts as she faces the coming year will speak to anyone who has ever cared about a child or a parent. It. Goes. So. Fast. is honest, funny, poignant, revelatory, and immensely relatable."
"The Shining (The Shining, #1)","Jack Torrance\'s new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he\'ll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old."
"Monroe Doctrine: Volume I (Monroe Doctrine, #1)","It was called Jade Dragon… …and it threatened to destroy the West. Was an attack on the U.S. imminent? In a lab deep in the heart of China, a brilliant engineer had a breakthrough. It was the most powerful AI ever created. Ma Young believed the Jade Dragon could solve the world’s most dire challenges. There was just one problem… The president of China had other ideas. Was this their chance to conquer? The war began at the speed of light. The entire NATO alliance stood on the brink of destruction. Cyber-attacks, deepfakes, and a wave of social media disinformation wrought fear and desperation across the globe. The sleeping giant was awake. Could Ma stop his creation? You’ll love this fast-paced techno-military-thriller because we live in a world where this fiction could be truer than we suspect. It will keep you turning the pages. Get it now.\n\nThe Monroe Doctrine series is broken down into seven volumes. Each volume steadily reveals the complexity of Jade Dragon as humanity steadily moves towards autonomous warfare, waged by machines. This is NOT a standalone book."
The Boat Trip,"The journey of a lifetime becomes the holiday from hell.\n\nIn a brand-new murder mystery by the author of The Flight , a yacht crosses the North Atlantic while a perfect storm of suspicion and vengeance develops onboard . . .\n\nDuchess is about to set sail from Scotland to St. Lucia. But before she even leaves port, a crew member storms off in anger. It’s only the first in a series of events that will beset Helen, the skipper, her best friend, and the remaining crew.\nDuring a port of call in the Canary Islands, an experienced sailor is found badly beaten onshore. As a replacement, Helen calls in her son—despite objections from her crew who know of his unsavoury reputation. Then, a near-fatal allergic reaction raises the tension level—and finally, during a fierce storm, someone goes overboard.\n\nIs this a run of bad luck or is one person at the heart of the turmoil and violence? And if so, can the culprit be identified before they reach the Caribbean?"
The Lock Up (DCI Boyd #8),"When a couple of storage auction bidders win the contents of unit 37 at \'Best Price Storage\', they discover the mummified remains of three dismembered bodies inside. Thus begins a new murder case for Boyd and his team.\n\nWhile East Sussex police force are concerned they may have another serial killer operating along the South Coast, Boyd suspects there may be a very different explanation."
Fire Strike (Oregon Files #17),"Juan Cabrillo and the crew of the Oregon must battle an army of genetically engineered mercenaries to stop a hypersonic missile attack in this explosive new adventure in the #1 New York Times bestselling series.\n\n When Cabrillo is hired to extract an undercover operative in Kenya, he finds himself on the trail of a deadly international plot. A Saudi Prince seeks to unleash a deadly assault on U.S. forces, sparking a new war in the Middle East and ultimately destroying Israel.\n Cabrillo’s crew have met their most fearsome adversaries yet: a force of bio-hacked soldiers endowed with extreme strength and stamina and an unquenchable appetite for violence. The Oregon team must journey from the Amazon rainforest to an abandoned monastery in Eritrea before a final showdown in the mountains of Yemen, using every shred of courage and cunning they can muster to disable the ship-killer missile before the Arabian Sea becomes a mass grave."
Helgoland: Making Sense of the Quantum Revolution,"A startling new look at quantum theory, from the bestselling author of Seven Brief Lessons on Physics and The Order of Time.\n\nOne of the world\'s most renowned theoretical physicists, Carlo Rovelli has entranced millions of readers with his singular perspective on the cosmos. In Helgoland, he examines the enduring enigma of quantum theory. The quantum world Rovelli describes is as beautiful as it is unnerving.\n\nHelgoland is a treeless island in the North Sea where the twenty-three-year-old Werner Heisenberg made the crucial breakthrough for the creation of quantum mechanics, setting off a century of scientific revolution. Full of alarming ideas (ghost waves, distant objects that seem to be magically connected, cats that appear both dead and alive), quantum physics has led to countless discoveries and technological advancements. Today our understanding of the world is based on this theory, yet it is still profoundly mysterious.\n\nAs scientists and philosophers continue to fiercely debate the meaning of the theory, Rovelli argues that its most unsettling contradictions can be explained by seeing the world as fundamentally made of relationships rather than substances. We and everything around us exist only in our interactions with one another. This bold idea suggests new directions for thinking about the structure of reality and even the nature of consciousness.\n\nRovelli makes learning about quantum mechanics an almost psychedelic experience. Shifting our perspective once again, he takes us on a riveting journey through the universe so we can better comprehend our place in it."
Notes on a Nervous Planet,"A follow-up to Matt Haig\'s internationally bestselling memoir, Reasons to Stay Alive, a broader look at how modern life feeds our anxiety, and how to live a better life.\n\nThe societies we live in are increasingly making our minds ill, making it feel as though the way we live is engineered to make us unhappy. When Matt Haig developed panic disorder, anxiety, and depression as an adult, it took him a long time to work out the ways the external world could impact his mental health in both positive and negative ways. Notes on a Nervous Planet collects his observations, taking a look at how the various social, commercial and technological &quot;advancements&quot; that have created the world we now live in can actually hinder our happiness. Haig examines everything from broader phenomena like inequality, social media, and the news; to things closer to our daily lives, like how we sleep, how we exercise, and even the distinction we draw between our minds and our bodies."
"Winning the War in Your Mind: Change Your Thinking, Change Your Life","MORE THAN 500,000 COPIES SOLD! Are your thoughts out of control--just like your life? Do you long to break free from the spiral of destructive thinking? Let God\'s truth become your battle plan to win the war in your mind! We\'ve all tried to think our way out of bad habits and unhealthy thought patterns, only to find ourselves stuck with an out-of-control mind and off-track daily life. Pastor and New York Times bestselling author Craig Groeschel understands deeply this daily battle against self-doubt and negative thinking, and in this powerful new book he reveals the strategies he\'s discovered to change your mind and your life for the long-term. Drawing upon Scripture and the latest findings of brain science, Groeschel lays out practical strategies that will free you from the grip of harmful, destructive thinking and enable you to live the life of joy and peace that God intends you to live. Winning the War in Your Mind will help God has something better for your life than your old ways of thinking. It\'s time to change your mind so God can change your life."
The Glass Château,"From the critically acclaimed author of Universe of Two and The Baker’s Secret, a novel of hope, healing, and the redemptive power of art, set against the turmoil of post-World War II France and inspired by the life of Marc Chagall.\n\nOne month after the end of World War II, amid the jubilation in the streets of France, there are throngs of people stunned by the recovery work ahead. Every bridge, road, and rail line, every church and school and hospital, has been destroyed. Disparate factions—from Communists, to Resistance fighters, to federalists, to those who supported appeasement of the Nazis—must somehow unite and rebuild their devastated country.\n\nAsher lost his family during the war, and in revenge served as an assassin in the Resistance. Burdened by grief and guilt, he wanders through the blasted countryside, stunned by what has become of his life. When he arrives at le Chateau Guerin, all he seeks is a decent meal. Instead he finds a sanctuary, an oasis despite being filled with people every bit as damaged as him. But they are calming themselves, and recovering inch by inch, by turning sand into glass, and glass into windows for the bombed cathedrals of France.\n\nIt\'s a volatile place, and these former warriors manage their trauma in different ways. But they are helped by women of courage and affection. Asher turns out to have a gift for making windows, and decides to hide the fact that he is Jewish so the devout Catholics who own the chateau will not expel him. As the secrets of the chateau’s residents become known one by one, they experience more heated conflict and greater challenges. And as Asher kindles his talents for glasswork, his recovery will lead the way for them all."
"Court (Crave, #4)","No one survived the last battle unscathed. Flint is angry at the world, Jaxon is turning into something I don’t recognize, and Hudson has put up a wall I’m not sure I’ll ever break through. Now war is coming, and we’re not ready. We’re going to need an army to have any hope of winning. But first, there are questions about my ancestors that need answers. Answers that might just reveal who the real monster is among us.And that’s saying something in a world filled with bloodthirsty vampires, immortal gargoyles, and an ancient battle between two gods.There’s no guarantee that anyone will be left standing when the dust settles, but if we want to save this world, I have no choice. I’ll have to embrace every part of me...even the parts I fear the most."
"Hey, Hun: Sales, Sisterhood, Supremacy, and the Other Lies Behind Multilevel Marketing","She signed up for the sisterhood, free cars, and the promise of a successful business of her own. Instead, she ended up with an addiction, broken friendships, and the rubble of a toppled pyramid . . . scheme.\n\nHey, Hun: Sales, Sisterhood, Supremacy, and the Other Lies Behind Multilevel Marketing is the eye-opening, funny, and dangerous personal story of author Emily Lynn Paulson rising to the top of the pyramid in the multilevel marketing (MLM) world only to realize that its culture and business practices went beyond a trendy marketing scheme and into the heart of white supremacy in America. A significant polemic on how MLMs operate, Hey, Hun expertly lays out their role in the cultural epidemic of isolation and the cult-like ideologies that course through their trainings, marketing, and one-on-one interactions. Equally entertaining and smart, Paulson’s first-person accounts, acerbic wit, and biting commentary will leave you with a new perspective on those “Hey Hun” messages flooding your inbox."
Just Haven&#39;t Met You Yet,"From the New York Times bestselling author of This Time Next Year comes a heartwarming and hilarious tale that asks: What if you pick up the wrong suitcase in an airport, only to fall head over heels for its unseen owner?\n\nLaura\'s business trip to the Channel Islands isn\'t exactly off to a great start. After unceremoniously dumping everything in her bag in front of the most attractive man she\'s ever seen in real life, she arrives at her hotel only to realize she\'s grabbed the wrong suitcase from the airport. Her only consolation? The irresistibly appealing contents of the case: a copy of her favorite book; piano music; and a rugged, heavy knit fisherman sweater only a Ryan Gosling lookalike could pull off. The owner of this suitcase is Laura\'s dream man--she\'s sure of it. Now, all she has to do is find him.\n\nThe mix-up seems written in the stars. After all, what are the odds that she\'d find The One on the same remote island where her mom and dad had first fallen in love, especially as she sets out to write an article about their epic romance? Commissioning surly cab driver Ted to ferry her around seems like her best bet in both tracking down the mystery suitcase owner and retracing her parents\' footsteps. And if beneath Ted\'s gruffness lies a wit that makes their cab rides strangely entertaining, so much the better. But as Laura\'s long-lost luggage soulmate proves difficult to find--and as she realizes that the love story she\'s held on a pedestal all her life might not have been that perfect--she\'ll have to rethink her whole outlook on love to discover what she really wants."
Those We Thought We Knew,"From award-winning writer David Joy comes a searing new novel about the cracks that form in a small North Carolina community and the evils that unfurl from its center.\n\nToya Gardner, a young Black artist from Atlanta, has returned to her ancestral home in the North Carolina mountains to trace her family history and complete her graduate thesis. But when she encounters a still-standing Confederate monument in the heart of town, she sets her sights on something bigger.\n\nMeanwhile, local deputies find a man sleeping in the back of a station wagon and believe him to be nothing more than some slack-jawed drifter. Yet a search of the man\'s vehicle reveals that he is a high-ranking member of the Klan, and the uncovering of a notebook filled with local names threatens to turn the mountain on end.\n\nAfter two horrific crimes split the county apart, every soul must wrestle with deep and unspoken secrets that stretch back for generations. Those We Thought We Knew is an urgent unraveling of the dark underbelly of a community. Richly drawn and bracingly honest, it asks what happens when the people you\'ve always known turn out to be monsters, what do you do when everything you ever believed crumbles away?"
Plus One,"They say that those who can’t do, teach.\n\nLahey Johnson is notorious for helping her friends and classmates find love. Sure, she’s never had a boyfriend herself. But she could. If she wanted to. Right? She just hasn’t had a reason to focus on her own love life—but now, with her detested cousin Summer’s sweet sixteen coming up, she’s got the ultimate reason: revenge.\n\nLahey will do anything to prove that she can get a date to Summer’s party—anything, including juggle six prospective suitors in seven days. She’s matched people before—all she needs to do is figure out who these guys are looking for and become that girl. Easy.\n\nThe only issue? Her older sister’s irritating friend Adler has decided to take a front-row seat to the spectacle that is Lahey’s life. He can bother her all he wants—nothing will distract Lahey from her goal of one-upping Summer.\n\nBut as the party creeps closer, the panic sets in.\n\nCan a matchmaker ever really meet her own match?"
